EmploymentField,EmploymentStatus,Gender,LanguageAtHome,JobWherePref,SchoolDegree,Income
software development and IT,Employed for wages,male,Spanish,in an office with other developers,master's degree (non-professional),25000.0
"arts, entertainment, sports, or media",Self-employed freelancer,male,Vietnamese,no preference,"some college credit, no degree",10000.0
"arts, entertainment, sports, or media",Employed for wages,male,Spanish,no preference,bachelor's degree,15000.0
education,Employed for wages,female,English,no preference,master's degree (non-professional),58000.0
software development and IT,Employed for wages,male,Italian,in an office with other developers,"professional degree (MBA, MD, JD, etc.)",23000.0
"arts, entertainment, sports, or media",Employed for wages,male,Russian,from home,master's degree (non-professional),6000.0
software development and IT,Employed for wages,male,Arabic,in an office with other developers,"some college credit, no degree",20000.0
software development and IT,Employed for wages,male,Russian,in an office with other developers,some high school,6000.0
office and administrative support,Employed for wages,male,English,in an office with other developers,associate's degree,12000.0
software development and IT,Employed for wages,male,English,no preference,"some college credit, no degree",45000.0
software development and IT,Employed for wages,male,German,from home,bachelor's degree,15000.0
software development and IT,Employed for wages,female,Hindi,from home,bachelor's degree,15000.0
software development and IT,Employed for wages,male,English,from home,"some college credit, no degree",30000.0
software development and IT,Employed for wages,male,Hungarian,in an office with other developers,bachelor's degree,14000.0
transportation,Employed for wages,male,Romanian,in an office with other developers,high school diploma or equivalent (GED),70000.0
software development and IT,Employed for wages,male,English,in an office with other developers,some high school,12000.0
software development and IT,Employed for wages,male,Bosnian,in an office with other developers,some high school,12000.0
architecture or physical engineering,Employed for wages,male,English,from home,"some college credit, no degree",28000.0
construction and extraction,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",30000.0
transportation,Employed for wages,male,Polish,no preference,bachelor's degree,8000.0
software development and IT,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",35000.0
education,Employed for wages,male,English,no preference,Ph.D.,80000.0
education,Employed for wages,male,English,from home,bachelor's degree,36000.0
sales,Employed for wages,female,English,from home,bachelor's degree,42500.0
software development and IT,Employed for wages,male,English,from home,bachelor's degree,60000.0
law enforcement and fire and rescue,Employed for wages,female,English,in an office with other developers,bachelor's degree,60000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,17000.0
health care,Employed for wages,male,Chinese,in an office with other developers,bachelor's degree,15000.0
architecture or physical engineering,Employed for wages,male,Yue (Cantonese) Chinese,in an office with other developers,master's degree (non-professional),100000.0
construction and extraction,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",32000.0
